Id,SalePrice
1461,21601.062
1462,2135.6106
1463,56909.11
1464,71432.84
1465,43133.2
1466,59630.613
1467,810.8217
1468,52993.78
1469,74273.91
1470,28203.996
1471,86246.55
1472,35763.49
1473,36418.273
1474,57538.996
1475,50098.86
1476,148823.56
1477,111298.91
1478,89123.79
1479,90375.484
1480,197017.97
1481,131125.08
1482,90719.6
1483,69055.42
1484,69114.73
1485,69337.875
1486,70028.34
1487,37883.43
1488,94048.38
1489,73046.97
1490,35353.76
1491,71854.75
1492,25156.844
1493,33858.555
1494,156090.94
1495,90367.9
1496,90378.24
1497,77239.61
1498,68598.836
1499,23896.465
1500,67971.06
1501,84435.234
1502,59977.21
1503,25313.715
1504,92957.46
1505,82481.0
1506,68931.86
1507,100183.766
1508,35870.848
1509,56945.16
1510,52328.395
1511,28461.94
1512,43508.418
1513,45949.414
1514,51541.133
1515,61857.582
1516,28225.012
1517,116.68029
1518,51229.652
1519,1547.7358
1520,25179.623
1521,46154.477
1522,49469.82
1523,38024.56
1524,52627.43
1525,23594.367
1526,46252.65
1527,47242.984
1528,38766.375
1529,54440.11
1530,74873.875
1531,43878.617
1532,24178.438
1533,204875.3
1534,42363.258
1535,30097.8
1536,35424.91
1537,28169.21
1538,37254.42
1539,66520.72
1540,30373.498
1541,57203.598
1542,41144.598
1543,38138.31
1544,26910.008
1545,41166.5
1546,50530.625
1547,22069.098
1548,33908.867
1549,29101.482
1550,44756.78
1551,30125.686
1552,51007.445
1553,49292.04
1554,33410.855
1555,56280.535
1556,18121.969
1557,20892.297
1558,26702.215
1559,12294.966
1560,44477.902
1561,45736.105
1562,47376.582
1563,48479.53
1564,43218.516
1565,45933.16
1566,73373.164
1567,34388.387
1568,84945.445
1569,26578.76
1570,35103.06
1571,14457.733
1572,50938.17
1573,97320.3
1574,38246.16
1575,34062.695
1576,80434.805
1577,68720.56
1578,48274.68
1579,43985.08
1580,63144.082
1581,100711.125
1582,43627.336
1583,92487.2
1584,84610.64
1585,57735.4
1586,28541.557
1587,25662.14
1588,33431.92
1589,21064.48
1590,39853.168
1591,37992.95
1592,23120.213
1593,31332.877
1594,248.74207
1595,46316.17
1596,40652.168
1597,64898.613
1598,82481.48
1599,70852.61
1600,60302.125
1601,25470.104
1602,22897.703
1603,20898.434
1604,48980.273
1605,95220.19
1606,28142.223
1607,52853.066
1608,86076.53
1609,84547.88
1610,51946.324
1611,46385.305
1612,57722.074
1613,60923.65
1614,27983.355
1615,39177.367
1616,31850.18
1617,24056.418
1618,42675.906
1619,91964.67
1620,264.93616
1621,45385.89
1622,33630.062
1623,44068.633
1624,65599.41
1625,45592.523
1626,48107.39
1627,66906.086
1628,97634.414
1629,498.72308
1630,140581.8
1631,90350.58
1632,105534.33
1633,60764.426
1634,66191.14
1635,60456.22
1636,55542.67
1637,45907.32
1638,64643.004
1639,67153.92
1640,88858.914
1641,57213.42
1642,73745.39
1643,86012.12
1644,34335.0
1645,290452.25
1646,45185.062
1647,49512.44
1648,46081.29
1649,58916.105
1650,43394.047
1651,41515.227
1652,38684.387
1653,46168.035
1654,57993.61
1655,55105.066
1656,55587.29
1657,64661.992
1658,57746.906
1659,56895.92
1660,118.58525
1661,132375.89
1662,163177.14
1663,116501.78
1664,133160.8
1665,105598.664
1666,86636.39
1667,124457.734
1668,100419.18
1669,102346.484
1670,107819.84
1671,95520.06
1672,153351.06
1673,106296.55
1674,87654.055
1675,73578.195
1676,82570.41
1677,89023.21
1678,146648.34
1679,128812.5
1680,142360.67
1681,92831.39
1682,111268.98
1683,84480.984
1684,65499.26
1685,58706.56
1686,67381.664
1687,61590.45
1688,67010.37
1689,68744.3
1690,72315.98
1691,69162.33
1692,95773.83
1693,23234.672
1694,63543.39
1695,61280.508
1696,93149.5
1697,59373.895
1698,114067.47
1699,529872.3
1700,38446.86
1701,97008.39
1702,86171.65
1703,84964.32
1704,101285.19
1705,75950.28
1706,88157.56
1707,78634.85
1708,70705.73
1709,88973.81
1710,85918.82
1711,89249.93
1712,104932.28
1713,92043.984
1714,38685.934
1715,78996.09
1716,75280.56
1717,71585.125
1718,55218.645
1719,81541.36
1720,60545.42
1721,60246.71
1722,47062.344
1723,50478.703
1724,92588.25
1725,91744.44
1726,29021.3
1727,64754.375
1728,47679.957
1729,53087.266
1730,48530.69
1731,123565.766
1732,49597.89
1733,39533.934
1734,36456.082
1735,41687.453
1736,79575.75
1737,55455.92
1738,51673.086
1739,115141.19
1740,99018.19
1741,74121.06
1742,77060.82
1743,74280.85
1744,70223.23
1745,39174.527
1746,56906.344
1747,39182.973
1748,44194.016
1749,1529.6824
1750,41647.72
1751,67088.19
1752,45715.133
1753,52744.504
1754,36829.793
1755,56445.773
1756,80234.45
1757,42753.223
1758,30262.555
1759,45596.047
1760,64704.867
1761,23296.555
1762,34836.42
1763,64816.223
1764,33737.355
1765,32991.69
1766,42949.59
1767,78065.18
1768,64770.125
1769,27865.164
1770,56466.234
1771,25620.25
1772,73089.76
1773,67010.3
1774,58166.04
1775,52378.473
1776,32171.893
1777,43329.12
1778,53091.516
1779,27377.547
1780,29927.836
1781,50201.453
1782,34992.055
1783,30555.086
1784,24733.008
1785,42104.273
1786,802106.9
1787,32382.693
1788,26534.26
1789,46569.875
1790,36675.188
1791,76209.234
1792,59999.81
1793,33318.543
1794,1385.2537
1795,40390.89
1796,33149.64
1797,23699.8
1798,40010.832
1799,36207.99
1800,26852.375
1801,39789.406
1802,21186.373
1803,60122.734
1804,43159.99
1805,41648.59
1806,28611.299
1807,22376.258
1808,40519.445
1809,26561.934
1810,37150.535
1811,18929.25
1812,25900.297
1813,35126.973
1814,27111.426
1815,18633.703
1816,33305.49
1817,20330.674
1818,44120.906
1819,42248.312
1820,26168.176
1821,11149.585
1822,36767.047
1823,14753.413
1824,51936.863
1825,51598.676
1826,30097.111
1827,27484.57
1828,29687.734
1829,20727.469
1830,29831.574
1831,915.68164
1832,29725.53
1833,26451.16
1834,31245.564
1835,24603.025
1836,25250.975
1837,11228.908
1838,56354.656
1839,28902.418
1840,45190.58
1841,49302.71
1842,37600.01
1843,39990.652
1844,47708.156
1845,13560.936
1846,27270.678
1847,80988.625
1848,16674.326
1849,19758.617
1850,37445.492
1851,51853.223
1852,44726.1
1853,41662.695
1854,39251.492
1855,8898.718
1856,36251.594
1857,36861.387
1858,40029.535
1859,37071.68
1860,52654.336
1861,40414.703
1862,93167.72
1863,87036.055
1864,87044.44
1865,123347.01
1866,107027.414
1867,74536.74
1868,85634.23
1869,71150.414
1870,77022.61
1871,88760.92
1872,54912.324
1873,105087.61
1874,29916.078
1875,56476.36
1876,70236.76
1877,73722.96
1878,35304.3
1879,41150.09
1880,38558.49
1881,79776.96
1882,81740.53
1883,66923.25
1884,76490.586
1885,66636.28
1886,87533.09
1887,42583.535
1888,41452.082
1889,57218.6
1890,53731.75
1891,49697.035
1892,20141.54
1893,7353.8853
1894,51976.406
1895,54887.508
1896,44775.35
1897,24565.512
1898,38650.754
1899,33532.734
1900,30885.566
1901,38438.133
1902,45390.953
1903,48401.316
